,channel_name,publish_date,length,recipe_0,recipe_1,recipe_2,recipe_3,recipe_4,recipe_5,recipe_6,recipe_7,recipe_8,recipe_9,recipe_10,recipe_11,genome_0,genome_1,genome_2,genome_3,genome_4,genome_5,genome_6,genome_7,genome_8,genome_9,genome_10,genome_11,genome_12,genome_13,genome_14,genome_15,genome_16,genome_17,genome_18,genome_19,genome_20,genome_21,genome_22,genome_23,genome_24,genome_25,genome_26,genome_27,genome_28,genome_29,Views
0,French,27.01.22,235,0.087378216,0.266356851,0.601746182,0.038414707,0.139688076,0.874649537,0.043642479,0.087508433,0.037842104,0.058170434,0.077233545,0.039315024,0.000502126,0.000329719,0.000459613,0.982396066,0.000146949,0.038184393,4.25e-06,2.71e-05,0.020616315,0.870947003,0.000179078,2.93e-05,1.05e-05,6.78e-05,0.005414345,0.001177738,0.000395688,5.46e-06,1.04e-05,1.09e-06,2.2e-06,0.000409146,1.07e-05,4.45e-05,0.000408928,1.08e-06,2.25e-06,0.002767859,1.33e-06,4.05e-05,394
1,French,19.01.22,345,0.188133271,0.023231592,0.436932446,0.104681797,0.242425251,0.593733774,0.025685334,0.198366055,0.207900208,0.078583419,0.050709587,0.086404453,0.056609072,0.021957565,0.002482745,0.082883492,0.000516034,0.019306721,4.07e-05,0.000768631,0.021859681,0.001865679,0.001780114,0.019997925,0.00261116,0.000151444,0.007816267,0.001494267,0.328353196,0.011141498,0.000291509,2.57e-05,7.67e-05,0.001240363,9.31e-05,2.7e-05,0.000241307,6.35e-05,2.86e-05,0.039631702,0.00010315,0.00013688,259
2,French,19.01.22,219,0.162994816,0.021241612,0.37767877,0.132311522,0.275497281,0.453572839,0.045816935,0.227654279,0.318772967,0.095600479,0.060980102,0.155770511,0.020236123,0.014793474,0.001017308,0.066884689,0.000670063,0.004919011,5.36e-05,0.019608658,0.014750187,0.007078795,0.00113942,0.001114507,0.001084768,0.000297411,0.001263937,0.005159952,0.11248567,0.1038948,0.000230102,2.67e-05,0.000126948,0.000748704,0.000658593,4.88e-05,3.07e-05,5.73e-05,3.43e-05,0.001256704,0.000151749,0.000217104,161
3,French,19.01.22,422,0.230494622,0.050815125,0.431094067,0.103429448,0.212753192,0.480771629,0.026074549,0.29123393,0.227994465,0.061943904,0.118611055,0.090447934,0.019265274,0.005189014,0.000386555,0.027131718,0.000173883,0.000446402,5.6e-05,0.003980783,0.00134069,0.00083583,0.000922076,0.009655615,0.000791952,0.000276855,2.18e-05,0.000211055,0.127720281,0.047819912,0.003264402,1.72e-05,0.000362096,5.73e-05,3.83e-05,1.33e-05,2.09e-05,0.000416169,3.77e-05,0.01606931,6.49e-05,4.82e-05,282
4,French,19.01.22,194,0.185608756,0.028493021,0.515905854,0.135616984,0.236154583,0.466219505,0.028391685,0.221229766,0.312550835,0.08448889,0.064217679,0.127207617,0.009829399,0.004522366,0.002260454,0.62496078,0.002062682,0.038546246,3.89e-05,0.009803719,0.012300179,0.184172735,0.01338422,0.000703838,0.005827575,0.000178559,0.006357932,0.001095935,0.015738908,0.0228763,8.79e-05,7.6e-05,0.000108525,0.000372694,0.000226837,0.000156372,0.000515617,5.97e-05,2.44e-05,0.025270114,5.39e-05,0.00087708,228
5,French,19.01.22,113,0.141162775,0.092566357,0.448984292,0.038940338,0.127412113,0.758479866,0.014457506,0.161915283,0.079605125,0.0545272,0.093086603,0.026266206,0.056486033,0.035587832,0.017710609,0.27678144,0.005215952,0.068866692,0.000235398,0.002029349,0.001460995,0.036945183,0.003660151,0.001534191,0.003337579,0.001761821,0.002925495,0.000105065,0.050509106,0.012850624,0.000215105,1.97e-05,0.00089631,0.009734591,0.000531298,0.000428425,0.000292304,0.000354855,8.62e-05,0.023909878,8.55e-05,0.001445737,143
6,French,19.01.22,135,0.169300165,0.02394856,0.395527665,0.102816556,0.184192437,0.427840244,0.046272232,0.314809929,0.257350028,0.056486244,0.083159134,0.11573624,0.087777875,0.052803032,0.005155707,0.337696135,0.005716462,0.051010884,5.37e-05,0.000318354,0.003875417,0.099510394,0.022376262,0.023930527,0.003435942,0.0003475,0.013781268,0.000718365,0.012284771,0.000455404,0.022930956,0.000611814,0.00015601,0.000178444,0.000770785,0.001946108,0.009409634,0.000158836,2.7e-05,0.001803297,0.000111434,0.000711507,176
7,French,03.12.21,35,0.349984104,0.540295569,0.26181262,0.068499845,0.425641524,0.792821067,0.068531611,0.135865691,0.071313775,0.109222473,0.11260195,0.118887428,0.002110404,0.000403801,0.000274172,0.000292888,7.38e-05,3.16e-05,0.000139726,3.33e-05,0.000124812,7.21e-05,1.96e-06,3.08e-05,2.32e-06,0.000115611,3.09e-05,0.000205457,7.68e-06,1.06e-05,1.08e-06,1.05e-07,0.002615574,3.17e-05,3.52e-06,6.93e-07,2.84e-06,0.002026446,0.000135278,3.4e-05,0.020241544,3.12e-05,446
8,French,12.04.21,40,0.161737435,0.051243264,0.573400858,0.074828231,0.444709245,0.397805085,0.031483527,0.334689402,0.267506239,0.158292876,0.030838853,0.081566028,0.001028897,0.00073458,0.001233497,0.000455339,0.000132968,5.33e-05,0.000469994,0.000173329,0.45672527,4.32e-05,1.74e-05,2.06e-05,0.00023752,0.000575087,1.3e-05,3.87e-05,1.56e-05,2.24e-05,3.44e-06,2.58e-06,2.27e-05,4.47e-06,1.55e-06,3.5e-06,6.67e-06,7.38e-06,0.000337705,2.34e-05,2.25e-06,7.27e-05,520
9,French,29.03.21,28,0.080628186,0.015323494,0.23391893,0.089793833,0.554415826,0.19951853,0.11085139,0.332136195,0.468344511,0.115083705,0.031350037,0.133501463,0.062178381,0.018078325,0.002464987,0.00026204,0.005956476,0.000496898,0.001256342,1.33e-05,4.99e-05,2.65e-05,3.16e-05,0.000655955,0.00060102,0.001786475,7.08e-05,5.54e-05,5.43e-05,3.02e-05,2.88e-05,8.37e-06,0.984789371,5.3e-06,1.9e-05,2.7e-05,4.91e-05,0.96091032,0.000333409,6.19e-05,0.000497767,0.003340883,3119
